callno,TITLE,TOT CHKOUT,DESCRIPT,PUB INFO,LC SUBJECT
PS3629.N5 Z8,The art of Eugene O'Neill / by Joseph Shipley.,2,"34 pages   18 cm.;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","Seattle [Wash.] : University of Washington Book Store, 1928.","O'Neill, Eugene, 1888-1953. http://id.loc.gov/authorities/names/n79092602"
PS3727.E35 A6 1991,The giving earth : a John G. Neihardt reader / edited and with an introduction by Hilda Neihardt Petri.,0,"xviii, 301 pages : portrait   22 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","Lincoln : University of Nebraska Press, c1991.",
PS3668.I34 T5 1972,Three modern Kyogen / by Donald Richie.,0,"92 pages   19 cm.;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","Rutland, Vt. : C. E. Tuttle Co., [1972]",
PS3623.I84 S94 2001,The sweetheart is in : stories / S.L. Wisenberg.,1,"xi, 137 pages   23 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","Evanston, Ill. : TriQuarterly Books, 2001.",
PS3625.O96 D39 2001,The day underneath the day / C. Dale Young.,5,"xi, 68 pages   21 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","Evanston, Ill. : TriQuarterly Books, c2001.",Caribbean Area -- Poetry. http://id.loc.gov/authorities/subjects/sh2008114591
PS3618.U78 S53 2001,Shadow ball : a novel of baseball and Chicago / by Peter M. Rutkoff.,1,"228 pages   23 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","Jefferson, N.C. : McFarland, c2001.","Foster, Rube, 1879-1930. http://id.loc.gov/authorities/names/n81114743 -- Fiction. http://id.loc.gov/authorities/subjects/sh99001562;""Memphis Minnie"
PS3604.I54 O54 2001,One red eye : poems / by Kirsten Dierking.,2,"x, 68 pages   22 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","Duluth, Minn. : Holy Cow! Press, 2001.",Rape victims http://id.loc.gov/authorities/subjects/sh85111415 -- Poetry. http://id.loc.gov/authorities/subjects/sh99001678
PS3613.O57 F85 2001,Fully committed / by Becky Mode   based on characters created by Becky Mode and Mark Setlock.,6,"58 pages   20 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","New York, NY : Dramatists Play Service, c2001.",
PS3609.R54 A94 2001,Astronauts and other stories / Matthew Iribarne.,2,"318 pages   23 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","New York : Simon & Schuster, c2001.",United States -- Social life and customs -- 20th century -- Fiction. http://id.loc.gov/authorities/subjects/sh2007100002
PS3618.E54 S4 2001,Sex and the single sister : five novellas / Maryann Reid.,10,"xii, 225 pages   22 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","New York : St. Martin's Press, 2001.","Erotic stories, American. http://id.loc.gov/authorities/subjects/sh85044709;""African American women -- Fiction. http://id.loc.gov/authorities/subjects/sh2007100489"";""Single women -- Fiction. http://id.loc.gov/authorities/subjects/sh2008111421"""
PS3623.E4 U53 2001,Uncertain grace / Rebecca Liv Wee.,4,"x, 83 pages   23 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","Port Townsend, Wash. : Copper Canyon Press, c2001.",
PS3602.A83 N8 2001,The nudes of God : poems / by James Barfoot   introduction by Bert Hitchcock.,1,"175 pages   23 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","Montgomery, AL : NewSouth Books, c2001.",
PS3611.R36 S64 2001,Spectacular happiness : a novel / Peter D. Kramer.,10,"313 pages   25 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","New York : Scribner, c2001.","Political activists -- Fiction. http://id.loc.gov/authorities/subjects/sh2010107338;""Happiness -- Fiction. http://id.loc.gov/authorities/subjects/sh2009126185"";""Bombings -- Fiction. http://id.loc.gov/authorities/subjects/sh2007102077"";""Cape Cod (Mass.) --"
PS3606.U58 R4 2001,Retribution and other stories / John Fulton.,0,"194 pages   22 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","New York : Picador USA, 2001.",United States -- Social life and customs -- 20th century -- Fiction. http://id.loc.gov/authorities/subjects/sh2007100002
PS3602.A59 A69 2001,After Greece : poems / by Christopher Bakken.,1,"x, 62 pages   24 cm.;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","Kirksville, Mo. : Truman State University Press, 2001.",Greece http://id.loc.gov/authorities/names/n80046090 -- Poetry. http://id.loc.gov/authorities/subjects/sh99001678
PS3604.A95 F54 2001,Field observations : stories / by Rob Davidson.,1,"ix, 193 pages   21 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","Columbia : University of Missouri Press, c2001.",United States -- Social life and customs -- 20th century -- Fiction. http://id.loc.gov/authorities/subjects/sh2007100002
PS3622.A85 D57 2001,Discovering the world : thirteen stories / Thomas Jeffrey Vasseur.,0,"352 pages   24 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","Macon, Ga. : Mercer University Press, 2001.",Southern States -- Social life and customs -- Fiction. http://id.loc.gov/authorities/subjects/sh2008111599
PS3607.R54 N6 2001,No one thinks of Greenland / John Griesemer.,3,"310 pages   22 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","New York : Picador USA, 2001.","Military hospitals http://id.loc.gov/authorities/subjects/sh85062387 -- Fiction. http://id.loc.gov/authorities/subjects/sh99001562;""Soldiers -- Fiction. http://id.loc.gov/authorities/subjects/sh2008111377"";""Greenland http://id.loc.gov/authorities/names/n7"
PS3603.A55 T78 2001,Truelove & homegrown tomatoes : a novel / Julie Cannon.,3,"xi, 268 pages   19 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","Athens, Ga. : Hill Street Press, c2001.","Widows -- Fiction. http://id.loc.gov/authorities/subjects/sh2008113420;""Loneliness -- Fiction. http://id.loc.gov/authorities/subjects/sh2008107118"";""Tomato growers http://id.loc.gov/authorities/subjects/sh95005282 -- Fiction. http://id.loc.gov/authorities"
PS3619.I55 B34 2001,Babe in paradise : fiction / Marisa Silver.,2,"233 pages   22 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","New York : W.W. Norton, c2001.",Los Angeles (Calif.) -- Fiction. http://id.loc.gov/authorities/subjects/sh2008106612
PS3618.I38 S65 2001,A soldier's duty : a novel / Thomas E. Ricks.,1,"xviii, 250 pages   24 cm;""text txt rdacontent"";""unmediated n rdamedia"";""volume nc rdacarrier""","New York : Random House, c2001.","Military policy http://id.loc.gov/authorities/subjects/sh85085264 -- Fiction. http://id.loc.gov/authorities/subjects/sh99001562;""Conspiracies -- Fiction. http://id.loc.gov/authorities/subjects/sh2008100472"";""Generals -- Fiction. http://id.loc.gov/authorit"
